100	3
+4.5207973204378088e-01	-6.4602661802414307e-01	+6.1503944969368529e-01
+7.3503752393435640e-01	-3.4065832624547621e-01	-5.8623522852868637e-01
+2.1965382666463751e-01	-9.6452504124413851e-01	+1.4643647511659921e-01
+1.2512597829173244e-01	+9.2558608858437619e-01	-3.5725884478289993e-01
-8.3467679088907254e-01	-6.0440316452294758e-02	+5.4741357573434901e-01
-6.7320923154601819e-01	-6.4700295976257816e-01	-3.5801745854033895e-01
+8.2384687652915434e-01	-5.2170865453273174e-01	-2.2157708324373970e-01
+5.5893419275405043e-01	-4.1296356582056226e-01	+7.1906443485625415e-01
+5.6880691131483929e-01	-6.9263605736714640e-01	+4.4352450853968339e-01
-3.4141699505870110e-01	-7.4080152626603546e-01	+5.7848728090339141e-01
-4.6657590845723146e-01	+2.0173712840247876e-01	-8.6116726172749447e-01
+3.0053966565294998e-01	-6.4185489406776397e-01	+7.0547728831654988e-01
+9.0179319272074476e-01	+7.5755061517757518e-03	+4.3210143400487594e-01
-4.8175733566959800e-01	-7.3316884643415792e-01	+4.7997219934797947e-01
+1.9711459429592562e-01	+5.5977421148809503e-01	+8.0485940938056633e-01
-7.0336319190803365e-01	+5.1544462523373225e-01	-4.8948652543926058e-01
+7.5661685382691446e-01	+4.1737591367319132e-01	+5.0331727885155142e-01
+3.2788142373850787e-01	+6.6473380986426944e-01	-6.7128439129071238e-01
+9.4702105816550974e-01	+1.1956403784524074e-01	+2.9808649121558672e-01
-5.9235715925763016e-02	+9.7954182055446581e-01	-1.9232511989754461e-01
+1.2648276966211369e-01	-9.9196238234326417e-01	-3.5694529659865632e-03
+7.5346209763526506e-01	-2.5719386007245026e-01	-6.0510014523886801e-01
+4.0188051792435364e-01	-2.3668493843366803e-01	-8.8457463745661624e-01
-6.9782796317493156e-01	-3.0869404505754899e-01	-6.4633127756370745e-01
-6.4992654347429202e-01	-5.5342644213021142e-01	+5.2087873947652630e-01
+8.3605627472429522e-01	-5.1482637996377190e-01	+1.8964098709807362e-01
+1.7559062076256812e-01	-8.9151436613428925e-01	+4.1757642279754303e-01
+7.1818115854214293e-01	-4.7718474891384388e-01	-5.0646869490531898e-01
-6.5060760985979835e-02	+9.0394766898187173e-01	-4.2266500815913977e-01
-9.3816939164311342e-01	+2.4987567462891477e-02	+3.4527353512291958e-01
-4.5039077395980659e-01	-5.9247571673999189e-01	+6.6792265705343412e-01
+4.0188160780783094e-01	-3.4887856059635175e-01	+8.4662560985479907e-01
-6.8100070685766989e-01	+5.3801595889509213e-01	-4.9676640912359243e-01
+5.5203853698178773e-01	+7.0411914886253679e-01	+4.4662028378937751e-01
+7.1460908892603103e-01	+2.1491650516956723e-01	-6.6569117902373265e-01
+8.7568533368600743e-01	+2.0040163978360387e-01	+4.3933401773510378e-01
+7.6990276750484266e-01	-6.3736048061983919e-01	+3.1958509546470414e-02
-2.7266849674007620e-01	-7.4851514107372075e-01	-6.0446420445622329e-01
-5.1110901990394353e-01	+8.5518035350221433e-01	-8.6221417041579915e-02
-3.8740906150488419e-01	+9.0654662632032768e-01	-1.6759305883937162e-01
+3.9401070276387629e-01	-8.1373787148066012e-01	-4.2730111470208093e-01
-1.2439474857486334e-01	-6.9823034534081041e-01	+7.0498250430223386e-01
-1.2339094495742244e-01	-8.2957983631665899e-01	-5.4458421743504426e-01
-6.1269993926791066e-01	+6.9008343859594201e-01	-3.8520596074918068e-01
+8.1388005107600658e-01	+4.2105977608724937e-01	-4.0038472426139377e-01
-4.0939479391552069e-01	-9.0399495650827655e-01	-1.2324374759989908e-01
+9.0924835684606087e-01	+2.0357852202139048e-01	-3.6307466304373898e-01
-5.9231719115120685e-01	+3.7067983499392659e-01	+7.1537179493995984e-01
-2.8284294749597322e-01	+5.6669653348215510e-01	-7.7385716123267789e-01
+6.0064690213815308e-01	-7.8361479073851714e-01	-1.5865421106188729e-01
+7.5613092794215533e-02	+1.5993251267052852e-01	-9.8422774376105893e-01
+9.3949588538576434e-01	-2.7415135271315322e-01	+2.0539843511761979e-01
+4.2097744746986389e-02	+8.9668906858164932e-01	+4.4065462005224876e-01
+5.8300652945992448e-01	+7.0427153108245588e-01	+4.0509874983004768e-01
-5.5917703016605536e-01	+7.5274671770834622e-01	-3.4740959674997723e-01
-1.3620962000722431e-01	-9.6328347942648362e-01	+2.3136956948029028e-01
-8.4547068397565417e-01	+2.4401504706744057e-02	+5.3346404668523473e-01
+6.8556480895916760e-01	-5.6851151934720137e-02	+7.2578842594827553e-01
+7.6836946306498399e-01	-5.4300208980766296e-01	-3.3875817140511755e-01
-9.8404758304828210e-01	-1.6359027030887341e-01	+6.9918364948731326e-02
-7.4310635661490776e-01	-3.1566653789288768e-01	+5.9004032032839560e-01
-9.7731953751747269e-01	-2.1151107389345425e-01	+1.0468390853950595e-02
+4.5393551163637808e-01	-6.6089680581984078e-01	+5.9762694327862365e-01
+5.6506167106369098e-01	-5.9575369670604306e-01	-5.7077389635107978e-01
+1.1993150799867659e-02	-3.8988580191843225e-01	+9.2078511380034411e-01
+5.9898701115374153e-01	-7.5623998526522318e-01	+2.6327864545982949e-01
+7.2326611027344989e-01	+3.0347082012264812e-02	-6.8990230347727832e-01
+7.6098745630304110e-02	-3.8009005579547861e-01	+9.2181371784047794e-01
-4.2463999085813425e-01	-9.0513550194022363e-01	-2.0263299124848592e-02
-3.1583506859529353e-01	-4.5813088011201736e-01	-8.3088164387787178e-01
-7.0777046241875041e-01	+1.2737658142132260e-01	+6.9486414429942012e-01
+9.7336675422974406e-01	-8.9580192832522984e-02	+2.1102736981809023e-01
+5.3630205613196957e-01	+6.6549638585432669e-02	-8.4139838970179281e-01
-2.9041413584078940e-01	+3.0631062022609162e-01	-9.0655029294604206e-01
-5.8487900044990437e-01	+3.7492822211427196e-01	+7.1926725429074823e-01
+8.6624775044255253e-01	+2.5333176662728452e-01	+4.3062495384117755e-01
+8.1124708343170968e-02	-8.6150980692247103e-01	+5.0121815038228834e-01
-9.8366718175577184e-01	+1.4692348602186084e-01	-1.0398252156897006e-01
-9.6160774085478939e-01	-1.7373888911526944e-01	+2.1242728435194083e-01
+6.7309345742813953e-01	+5.4142221486009445e-01	-5.0379279751046768e-01
-2.4199640060426672e-01	-3.7419083117521873e-01	-8.9522006454222092e-01
-7.6641774653136185e-01	+5.1105204437529927e-01	+3.8913962242569988e-01
+9.7814059158433928e-02	-1.4998746459792270e-01	-9.8383747148319034e-01
+4.6882543465388743e-01	+8.7206235657248188e-01	-1.4039215815295056e-01
+8.4805491732331828e-01	-3.3831612998014182e-01	+4.0785420605775252e-01
-8.7570624106094874e-01	+3.9526694929803169e-01	+2.7731321309943152e-01
+8.5582325745387566e-01	-1.2959587600313255e-01	-5.0077086668856630e-01
+7.5377232159776042e-01	+6.0965260615385586e-01	-2.4525698155798545e-01
-8.2509835322224789e-01	+5.6097244576606708e-01	+6.7250446847374593e-02
-3.0941926584991536e-01	+7.3162316438245745e-01	-6.0744321813639424e-01
-3.2643479834281280e-01	-4.4174429942258586e-01	+8.3564483864769723e-01
+5.5606621474372009e-01	+5.7636663131004284e-01	+5.9882540955849894e-01
+7.6867648981331793e-01	-4.6947547103196159e-02	+6.3791251894697076e-01
+5.7796715774571794e-01	-3.6535765732503439e-01	+7.2970387610406673e-01
-8.4331955606328654e-02	+5.0710992901048912e-01	-8.5774567393988577e-01
-1.1955868025357957e-02	-6.8477515140073442e-01	+7.2865633136881580e-01
+9.0584099157880271e-01	+4.2325928089100451e-01	-1.7426391340757977e-02
-3.9008875368377917e-02	+9.9905883986301169e-01	+1.8966869379723972e-02
-3.4234479785758876e-01	+8.2294003253089165e-01	+4.5339799540569392e-01
-2.3988072513128186e-01	-1.0104197779112059e-01	+9.6552978019041391e-01
